namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
KOTA BEKASI,MISBAKHUN_3275050324290010_PASFOTO.jpeg,Partai Golongan Karya,84162,1,"H. MUKHAMAD MISBAKHUN, S.E., M.H.",Laki-Laki
JAKARTA SELATAN,KUSUMAJUDILEKSONO_FOTO PAS 4X6.jpg,Partai Golongan Karya,238885,2,Ir. H. KUSUMA JUDI LEKSONO,Laki-Laki
JAKARTA TIMUR,foto 2.jpg,Partai Golongan Karya,267585,3,KAMILA,Perempuan
JAKARTA SELATAN,ADI HARNOWO_3174070260430084_PHOTO.jpg,Partai Golongan Karya,282936,4,"ADI HARNOWO, S.Sos",Laki-Laki
KOTA SUKABUMI,SYLVIA SULATANA_327201 032155 0044_PASFOTO.jpg,Partai Golongan Karya,241592,5,SYLVIA SULTANA,Perempuan
JAKARTA SELATAN,MARLINA FOTO.jpg,Partai Golongan Karya,246263,6,MARLYNA EFFRIDAWATI,Perempuan
JAKARTA SELATAN,10 - Pas Foto 4x6 _LY.jpg,Partai Golongan Karya,240419,7,"LUKMAN YANI, S.H",Laki-Laki
JAKARTA TIMUR,ZULFIKAR ARSE SADIKIN_3175010260680051_PASFOTO 4X6.jpg,Partai Golongan Karya,238128,1,"ZULFIKAR ARSE SADIKIN, S.IP., M.Si",Laki-Laki
JAKARTA SELATAN,PASFOTO 4X6.jpg,Partai Golongan Karya,242898,2,"Ir. GESANG BUDIARSO, M.H",Laki-Laki
JAKARTA BARAT,DENNY YUNIANDARI_3674030532000003_FOTO 4X6.jpg,Partai Golongan Karya,241960,3,"DENNY YUNIANDARI, S.H., M.Kn",Perempuan
KOTA BANDUNG,10. HARDISOESILO_3273200323230004_PASFOTO 4x6.jpg,Partai Golongan Karya,157592,4,H. HARDISOESILO,Laki-Laki
BOGOR,PAS FOTO.JPG,Partai Golongan Karya,235609,5,Ir. BAMBANG IRIANTO,Laki-Laki
JAKARTA PUSAT,CISILIA MAULINA ENDIYANI_3171070258760044_PASFOTO 4X6.jpg,Partai Golongan Karya,236782,6,"CISILIA MAULINA ENDIYANI, S.I.kom",Perempuan
KOTA SURABAYA,foto Lovita.jpg,Partai Golongan Karya,237876,7,LOVITA TAMAMI RANIA,Perempuan
KOTA BEKASI,FDC  DSC04695.jpg,Partai Golongan Karya,237361,1,MUHAMAD NUR PURNAMASIDI,Laki-Laki
JAKARTA SELATAN,4x6 cm.jpg,Partai Golongan Karya,278158,2,DWI PRIYO ATMOJO,Laki-Laki
KOTA BANDUNG,foto amanda.jpg,Partai Golongan Karya,279458,3,"AMANDA SEPTIANY CALISTA, S.H",Perempuan
KOTA SURABAYA,EBP FOTO.jpg,Partai Golongan Karya,272778,4,Drs. EDDIE BUDI PRABOWO,Laki-Laki
BANGKALAN,AGUS MARZUKI_3526120502060009_PASFOTO 4X6.jpg,Partai Golongan Karya,260841,5,"AGUS MARZUKI, S.PdI",Laki-Laki
MALANG,PAS FOTO.jpg,Partai Golongan Karya,261219,6,"WIJAYANTI, S.Sos",Perempuan
LUMAJANG,BASUKI RAKHMAD_ 350804 044446 0016_PASFOTO 4 X 6.JPG,Partai Golongan Karya,261524,7,BASUKI RAKHMAD,Laki-Laki
LUMAJANG,PASS FOTOO.JPG,Partai Golongan Karya,296062,8,AYUT JAMAK INDRAWATI,Perempuan
KOTA SURABAYA,10. IR. H.M. RIDWAN HISJAM_3578020513680095_PASFOTO 4X6.jpg,Partai Golongan Karya,158294,1,Ir. H. M. RIDWAN HISJAM,Laki-Laki
BOGOR,ENDANG AGUSTINI_PAS FOTO.JPG,Partai Golongan Karya,236130,2,"ENDANG AGUSTINI, S.I.P",Perempuan
KOTA TANGERANG SELATAN,"8 Drs M Haris Subagio,MM_3671070530460005_Pasfoto 4x6.jpg",Partai Golongan Karya,234661,3,"Drs. M HARIS SUBAGIO, M.M",Laki-Laki
KOTA SURABAYA,10.PAS FOTO.JPG,Partai Golongan Karya,233258,4,"EVI AYUNITA, S.H., M.H",Perempuan
JAKARTA UTARA,4x6 cm.jpg,Partai Golongan Karya,232657,5,"AHMAD IRAWAN, S.H",Laki-Laki
KOTA SURABAYA,HARIYATUL ASNA_3578220514960067_PASFOTO 4X6.jpg,Partai Golongan Karya,235638,6,"HARIYATUL ASNA, S.H., Sp.N",Perempuan
KOTA BEKASI,foto golkar fadhly.jpg,Partai Golongan Karya,250710,7,"FADHLY, S.T",Laki-Laki
KOTA SURABAYA,Capture.JPG,Partai Golongan Karya,262132,8,"Ir. SISWOTO, M.M",Laki-Laki
JAKARTA SELATAN,11 M SARMUJI_3174010259960001_PASFOTO 4X6.jpg,Partai Golongan Karya,159425,1,"M. SARMUJI, S.E., M.Si.",Laki-Laki
JAKARTA PUSAT,DIANA WIDYASTUTI pass foto.JPG,Partai Golongan Karya,274084,2,"DIANA WIDYASTUTI, M.LS",Perempuan
KEDIRI,YULIANTORO_3506210439250002_PASFOTO 4x6.jpg,Partai Golongan Karya,239178,3,YULIANTORO,Laki-Laki
KOTA SURABAYA,POTO 4X6.JPG,Partai Golongan Karya,273100,4,"YULI ANDRIYANI, S.H",Perempuan
KOTA KEDIRI,SUDJONO T WIDJAJA_3571030511440002_PASPOTO 4X6.jpg,Partai Golongan Karya,238717,5,"SUDJONO TEGUH WIDJAJA, S.E.",Laki-Laki
JAKARTA PUSAT,SITI MAHMUDAH_3171060258690054_FOTO.jpg,Partai Golongan Karya,275971,6,"SITI MAHMUDAH, S.E",Perempuan
JAKARTA PUSAT,R. SYAHLUKMAN PANJI S._3171070258750035_PAS FOTO 4X6.jpg,Partai Golongan Karya,298196,7,"R.SYAHLUKMAN PANJI S, S.H",Laki-Laki
JAKARTA TIMUR,KURNIASIH_3175080261250059_FOTO 4X6.jpg,Partai Golongan Karya,237757,8,KURNIASIH,Perempuan
LAMONGAN,PAS FOTO 4x6MAULANA SUMARLIN.jpg,Partai Golongan Karya,239754,9,"MAULANA SUMARLIN, S.H",Laki-Laki
KOTA SURABAYA,10. GATOT SUDJITO_3578040513810001_PASFOTO4x6.jpg,Partai Golongan Karya,151459,1,"Dr. H. GATOT SUDJITO, M.Si.",Laki-Laki
JAKARTA BARAT,Aryarizqi_3173080259870046_pasfoto4x6.jpg,Partai Golongan Karya,239714,2,ARYA RIZQI DARSONO,Laki-Laki
SIDOARJO,Eva D_ 357808 051406 0017_PASFOTO 4x6.jpg,Partai Golongan Karya,238267,3,"Dr. Dra. EVA DESEMBRIANITA, M.M",Perempuan
PONOROGO,ALI MUFTHI_3502170428420004_PAS FOTO 4X6.jpg,Partai Golongan Karya,237870,4,"Dr. ALI MUFTHI, S.Ag., M.Si.",Laki-Laki
PONOROGO,SUMIHAR PANJAITAN_3502200428790001_PASFOTO 4X6.jpg,Partai Golongan Karya,238981,5,"SUMIHAR PANJAITAN, S.IP",Laki-Laki
PACITAN,ALMIRA ADELIA DAMAYANTI_3501040424290008_PASFOTO4x6.jpg,Partai Golongan Karya,238910,6,"ALMIRA ADELLIA DAMAYANTI, S.T",Perempuan
NGAWI,SUPRAPTO poto.JPG,Partai Golongan Karya,239704,7,Drs. SUPRAPTO,Laki-Laki
JAKARTA TIMUR,BAYU WIKANARTININGSIH_3175100261390080_PASFOTO4x6.jpg,Partai Golongan Karya,265357,8,"BAYU WIKANARTININGSIH, S.E",Perempuan
KOTA TANGERANG SELATAN,10. MOHAMMAD SURYO ALAM_3674010531890001_PAS FOTO 4X6.jpg,Partai Golongan Karya,159569,1,"MOHAMMAD SURYO ALAM, Ak., MBA.",Laki-Laki
JAKARTA SELATAN,YAHYA ZAINI_PASS FOTO.JPG,Partai Golongan Karya,238864,2,"M. YAHYA ZAINI, S.H",Laki-Laki
JAKARTA SELATAN,dr. DEWI EMA ANINDIA_ 3174070260410017_ PASFOTO 4X6.jpg,Partai Golongan Karya,238026,3,dr. DEWI EMA ANINDIA,Perempuan
JAKARTA SELATAN,GANJAR RAZUNI_ 3174090260570050_ PASFOTO 4X6.jpg,Partai Golongan Karya,238622,4,"Drs. GANJAR RAZUNI, S.H., M.Si",Laki-Laki
KOTA TANGERANG,Foto copy.JPG,Partai Golongan Karya,272724,5,"AHMAD ZULKIFLI, S.S.T.Par",Laki-Laki
KOTA TANGERANG SELATAN,RATIH SUKMO ARIYANTI_3674020531960024_PAS FOTO.jpg,Partai Golongan Karya,260614,6,RATIH SUKMO ARIYANTI,Perempuan
NGANJUK,POTO.PNG,Partai Golongan Karya,239367,7,Drs. SOEMITRO SAMADIKOEN,Laki-Laki
JAKARTA TIMUR,PAS FOTO 4X6.jpg,Partai Golongan Karya,279916,8,"ERNADI, S.H.I",Laki-Laki
NGANJUK,NURHIDAYATI_3518080474420002_PASFOTO 4X6.jpg,Partai Golongan Karya,239080,9,"NURHIDAYATI, S.T",Perempuan
MADIUN,BAGUSRIZKI_3519080477410002_PASFOTO4x6.jpg,Partai Golongan Karya,239800,10,"BAGUS RIZKI DINARWAN, S.Si, M.T",Laki-Laki
KOTA TANGERANG SELATAN,SW YUDHA_FOTO.JPG,Partai Golongan Karya,240357,1,"Ir. H. S.W. YUDHA, M.Sc.",Laki-Laki
TUBAN,paspoto.JPG,Partai Golongan Karya,260770,2,"Dra. HJ. HAENY RELAWATI R.W, M.Si.",Perempuan
JAKARTA TIMUR,10. Gunawan Hidayat_31750102690016_ Foto 4 x 6.JPG,Partai Golongan Karya,238139,3,"GUNAWAN HIDAYAT, S.T., M.T.",Laki-Laki
JAKARTA SELATAN,Ir. Rusnilawati_314100260640054_PASFOTO 4X6.jpg,Partai Golongan Karya,296070,4,"Ir. RUSNILAWATI, M.M",Perempuan
JAKARTA SELATAN,HEPPYDWIBAYUWAHONO_31740202600040011_PASPOTO4X6.jpg,Partai Golongan Karya,279353,5,"HEPPY DWI BAYU WAHONO, S.I.P",Laki-Laki
BOJONEGORO,JOKO PURWANTO_3522150486430010_PASFOTO 4X6.JPG,Partai Golongan Karya,239037,6,JOKO PURWANTO,Laki-Laki
JAKARTA SELATAN,PRIHADI SANTOSO_3174070260430085_PAS FOTO 4X6.jpeg,Partai Golongan Karya,237419,1,PRIHADI SANTOSO,Laki-Laki
JAKARTA SELATAN,IR.EDDY KUNTADI_3174070260380002_PASFOTO 4X6.jpg,Partai Golongan Karya,236114,2,Ir. EDDY KUNTADI,Laki-Laki
BOGOR,PAS POTO.jpg,Partai Golongan Karya,277788,3,"NURNAVIA MALIK ARROSYIDAH, S.H",Perempuan
GRESIK,AHMAD LABIB_352415 110279 0001_PASFOTO 4X6.jpg,Partai Golongan Karya,235690,4,"AHMAD LABIB, S.H.I., M.H.",Laki-Laki
JAKARTA PUSAT,07 ABD HAFID BASO_3171070258790036_PASFOTO 4X6.jpg,Partai Golongan Karya,276475,5,ABD HAFID BASO,Laki-Laki
KOTA TANGERANG SELATAN,Pas FOTO.jpg,Partai Golongan Karya,236601,6,"DYAH RORO ESTI W.P, B.A., M.Sc",Perempuan
JAKARTA TIMUR,PASS FOTO ZAINUDIN.jpeg,Partai Golongan Karya,250007,1,H. ZAINUDIN AMALI,Laki-Laki
JAKARTA SELATAN,Foto.jpg,Partai Golongan Karya,249430,2,"ARMAN AMIR, S.E",Laki-Laki
SUMENEP,MUAYAANAH FOTO.jpg,Partai Golongan Karya,268902,3,"MUAYYANAH, S.Pd.I",Perempuan
JAKARTA TIMUR,Riyono Asnan_317501026072 0002_ pasfoto 4x6.jpg,Partai Golongan Karya,241112,4,"RIYONO ASNAN, S.E., M.Si",Laki-Laki
JAKARTA PUSAT,ACHMAD SUHAWI.jpeg,Partai Golongan Karya,238331,5,"ACHMAD SUHAWI, S.T., M.Si",Laki-Laki
SIDOARJO,FOTO 4X6.jpg,Partai Golongan Karya,240877,6,"RACHMA ERNA WATI, S.Sos",Perempuan
JAKARTA TIMUR,fotoo.JPG,Partai Golongan Karya,280341,7,MUHAMMAD ALI RIDHA,Laki-Laki
SAMPANG,POTO.JPG,Partai Golongan Karya,272913,8,HOIRUN NISAK,Perempuan
KOTA SERANG,DTP_9999_643 golkar.JPG,Partai Golongan Karya,232946,1,"HJ. ADDE ROSI KHOERUNNISA, S.Sos,. M.SI",Perempuan
JAKARTA SELATAN,dadan.jpg,Partai Golongan Karya,273203,2,"H. DADAN MUCHAMMAD R., S.E",Laki-Laki
KOTA BEKASI,Foto.jpg,Partai Golongan Karya,279909,3,"SUKMAWATI SULTAN, A.Md",Perempuan
KOTA TANGERANG SELATAN,4. GOUZTA FERIZA.jpg,Partai Golongan Karya,230626,4,"GOUSTA FERIZA, S.H., M.H",Laki-Laki
PANDEGLANG,PAST FOTO.jpg,Partai Golongan Karya,234009,5,"A. DADAN SURYANA, S.Sos",Laki-Laki
JAKARTA PUSAT,Shanty.jpg,Partai Golongan Karya,231873,6,"SHANTY ALDA NATHALIA, S.H",Perempuan
KOTA SERANG,"H. TUBAGUS HAERUL JAMAN, B.Sc., SE_3673010531080001_PASFOTO4X6.jpg",Partai Golongan Karya,239130,1,"H. TUBAGUS HAERUL JAMAN, S.E",Laki-Laki
JAKARTA SELATAN,Mohamad Aly Yahya_3174060260320001_Pas Foto 4x6.jpg,Partai Golongan Karya,237676,2,Drs. H. MOHAMAD ALY YAHYA,Laki-Laki
JAKARTA SELATAN,PASFOTO.jpg,Partai Golongan Karya,236909,3,DEWI PARAMATASARI,Perempuan
JAKARTA BARAT,GIOFEDI_PAS FOTO 4X6.jpg,Partai Golongan Karya,243457,4,"GIOFEDI, S.H.,M.H.",Laki-Laki
KOTA CILEGON,PASFOTO_FAKIH.JPG,Partai Golongan Karya,295939,5,H. FAKIH USMAN,Laki-Laki
JAKARTA SELATAN,PASFOTO.jpg,Partai Golongan Karya,238452,6,"HJ. RINIE AMALUDDIN, S.H., M.Si",Perempuan
JAKARTA SELATAN,ANDIACHMADDARA_3174060260290008_PASFOTO4X6..JPG,Partai Golongan Karya,152602,1,"H. ANDI ACHMAD DARA, S.E.",Laki-Laki
KOTA BEKASI,POTO 4X6.jpg,Partai Golongan Karya,236086,2,"RATU DIAN HATIFAH, S.Ag., M.Pd",Perempuan
KOTA TANGERANG,POTO 4X6 BENER.jpg,Partai Golongan Karya,232571,3,H. ABDUL SYUKUR,Laki-Laki
JAKARTA PUSAT,EVA WIBISONO HARDJANTO_3171060258690001_PASFOTO 4X6 BNR.jpg,Partai Golongan Karya,234930,4,EVA ELISA WIBISONO,Perempuan
JAKARTA SELATAN,Tri Iriastuti_3174030260100032_PASFOTO 4X6.jpg,Partai Golongan Karya,260918,5,"Dra. TRI IRIASTUTI, M.H",Perempuan
KOTA BEKASI,FREDDY R NAPITUPULU_3216180318530001_PASFOTO 4X6.jpg,Partai Golongan Karya,235621,6,FREDDY R. NAPITUPULU,Laki-Laki
TANGERANG,bahrudin putih.jpg,Partai Golongan Karya,233850,7,"BAHRUDIN, S.H",Laki-Laki
TANGERANG,8 ARNOD SIHITE_3603280525470001_PASFOTO 4X6.jpg,Partai Golongan Karya,233141,8,"ARNOD SIHITE, S.E",Laki-Laki
INDRAMAYU,HJ SITI UBAIDAH_3212010305060001_PASFOTO 4X6.jpg,Partai Golongan Karya,236944,9,"Dra. HJ. SITI UBAIDAH, M.M",Perempuan
JAKARTA BARAT,POTO 4X6.JPG,Partai Golongan Karya,266333,10,DHANY MARLEN,Laki-Laki
BULELENG,Pas Poto 4 x 6 GSL.jpg,Partai Golongan Karya,156315,1,"GDE SUMARJAYA LINGGIH, S.E, M.A.P.",Laki-Laki
BADUNG,WhatsApp Image 2018-07-26 at 16.20.45 (1).jpeg,Partai Golongan Karya,153337,2,A.A. BAGUS ADHI MAHENDRA PUTRA,Laki-Laki
BANGLI,PUSPA_5106020536620005_PASFOTO(4x6).jpg,Partai Golongan Karya,186975,3,"I GUSTI AGUNG AYU SRI PUSPA DEWI, S.T",Perempuan
BADUNG,foto 4x6.jpg,Partai Golongan Karya,187354,4,Drs. I KETUT SUDIKERTA,Laki-Laki
KARANGASEM,I WAYAN GREDEG-5107060537900001-FOTO.jpeg,Partai Golongan Karya,187014,5,"I WAYAN GEREDEG, S.H., M.A.P",Laki-Laki
KOTA TANGERANG SELATAN,DIAN FATMAYANTY_3674040532110065_PASFOTO 4X6.jpg,Partai Golongan Karya,186908,6,"DIAN FATMAYANTY, S.H",Perempuan
KLUNGKUNG,I Made Wijaya_5105010535940001_PassFoto 4x6.jpg,Partai Golongan Karya,187096,7,"I MADE WIJAYA, S.Kom",Laki-Laki
KOTA BEKASI,4x6.jpg,Partai Golongan Karya,187516,8,dr. G. AYU AMELINDA HANJANI,Perempuan
LAMPUNG TENGAH,PASS FOTO 4X6.JPG,Partai Golongan Karya,223306,9,"I GEDE ARIAWAN, S.I.P., M.I.P",Laki-Laki
JAKARTA SELATAN,FatahRamli_3174170260430082_PasFoto 4x6.jpg,Partai Golongan Karya,222170,1,"FATAHILLAH RAMLI, S.E., M.H",Laki-Laki
KOTA MATARAM,8.2 BADRUL MUNIR_5271020549410012_PASFOTO 4x6.JPG,Partai Golongan Karya,189606,2,"Ir. H. BADRUL MUNIR, M.M",Laki-Laki
KOTA TANGERANG SELATAN,FOTO BARU.jpg,Partai Golongan Karya,189953,3,"Dra. HJ. SRI UTHARI SALMAN FARIS, M.A",Perempuan
JAKARTA SELATAN,IR HJ SARI YULIATI MT_3174100260600001_PASFOTO 4X6.JPG,Partai Golongan Karya,189972,1,"Ir. HJ SARI YULIATI, M.T",Perempuan
LOMBOK TENGAH,PAS FOTO 4X6.jpg,Partai Golongan Karya,190113,2,Drs. H. HUMAIDI,Laki-Laki
LOMBOK TENGAH,pass photo.jpg,Partai Golongan Karya,190069,3,Drs. H. LALU WIREGINAWANG,Laki-Laki
JAKARTA PUSAT,ADI TAHIR_3171070258740021_PASFOTO 4X6.jpg,Partai Golongan Karya,151543,4,ADI PUTRA DARMAWAN TAHIR,Laki-Laki
KOTA TANGERANG SELATAN,7. DRA. PURWANINGSIH SUTIARTI _ PASFOTO 4X6.JPG,Partai Golongan Karya,190642,5,Dra. PURWANINGSIH SUTIARTI,Perempuan
JAKARTA TIMUR,ADIBAIQUNI_ 3175070261330026_PASFOTO 4X6.jpg,Partai Golongan Karya,189821,6,ADI BAIQUNI,Laki-Laki
LOMBOK BARAT,FOTO 4 X 6.jpg,Partai Golongan Karya,189781,7,Drs. H. SAHAFARI ASYARI,Laki-Laki
KOTA MATARAM,IR.HJ. NURHANI_5271040549630006_PASFOTO 4X6.jpg,Partai Golongan Karya,248673,8,Ir. NURHANI HM,Perempuan
KOTA TANGERANG SELATAN,MELCHIASMEKENG_3674030532020024_PASFOTO4X6.JPG,Partai Golongan Karya,153009,1,MELCHIAS MARKUS MEKENG,Laki-Laki
JAKARTA SELATAN,Foto.jpg,Partai Golongan Karya,190011,2,HONING SANNY,Laki-Laki
KOTA DEPOK,ADEODATA_3275085308780019_PASFOTO 4X6.JPG,Partai Golongan Karya,189440,3,ADEODATA TRIDECIMA,Perempuan
KOTA KUPANG,PAS FOTO.jpg,Partai Golongan Karya,190501,4,"H. ANWAR PUA GENO, S.H",Laki-Laki
JAKARTA SELATAN,Pas Foto.jpg,Partai Golongan Karya,261370,5,IRENE RATNA KARTIKA SAPTI,Perempuan
JAKARTA TIMUR,FOTO 4X6.JPG,Partai Golongan Karya,189589,6,"SEBASTIANUS KM SALANG, S.H., M.M",Laki-Laki
KOTA TANGERANG,EMANUEL MELKIADES LAKA LENA_3671070529920001_PASFOTO 4X6.jpg,Partai Golongan Karya,189767,1,EMANUEL MELKIADES LAKA LENA,Laki-Laki
TIMOR TENGAH SELATAN,PAULUS VICTOR ROLLAND MELLA_530202553640014_PASFOTO 4X6.jpeg,Partai Golongan Karya,189742,2,"Ir. PAULUS VICTOR ROLLAND MELLA, M.Si",Laki-Laki
BOGOR,SYLVIA_3201020261650001_PASFOTO 4X6.jpg,Partai Golongan Karya,248694,3,"Dra. SYLVIA A ANGGRAENI, M.S",Perempuan
JAKARTA SELATAN,4 X 6.JPG,Partai Golongan Karya,154672,4,"Drs. JULIANUS POTE LEBA, M.Si.",Laki-Laki
JAKARTA PUSAT,FOTO.jpg,Partai Golongan Karya,261195,5,MERRY.S.A.H.LENGGOE,Perempuan
KUPANG,foto 4x6.jpg,Partai Golongan Karya,190015,6,"Drs. AYUB TITU EKI, MS., Ph.D",Laki-Laki
KOTA KUPANG,PAS FOTO 4X6.jpg,Partai Golongan Karya,256821,7,"APRILIA JOHANA MANUKOA, M.Pd",Perempuan
KOTA TANGERANG SELATAN,11 MAMAN ABDURAHMAN_3674030532000002_PASFOTO 4X6.jpg,Partai Golongan Karya,211943,1,"MAMAN ABDURRAHMAN, S.T.",Laki-Laki
KOTA PONTIANAK,11 HAZAIRIN_6171050602130035_PAS PHOTO 4X6.jpg,Partai Golongan Karya,212512,2,"Ir. HAZAIRIN, M.S.",Laki-Laki
KOTA DEPOK,09 DEBBY EMELIA_3276050325040002_PASFOTO 4X6.jpg,Partai Golongan Karya,212539,3,DEBBY EMELIA,Perempuan
KOTA PONTIANAK,10 SUBHAN NOVIAR_6171010601890043_PASFOTO 4X6.jpg,Partai Golongan Karya,212213,4,"SUBHAN NOVIAR, S.E.",Laki-Laki
KOTA PONTIANAK,11 INDRAWAN_6171031711670006_PASFOTO 4X6.jpg,Partai Golongan Karya,211846,5,"Ir. INDRAWAN, M.M",Laki-Laki
KUBU RAYA,10 RIA RESTI PRATIWI_NPAPG 611201 85358 0002_PASFOTO 4X6 1.jpg,Partai Golongan Karya,214785,6,"RIA RESTI, S.E.",Perempuan
JAKARTA BARAT,09 ELMA AGUSTIN_3173020259360026_PASFOTO 4X6 1.jpg,Partai Golongan Karya,213372,7,ELMA AGUSTIN,Perempuan
MEMPAWAH,"08 DUDUNG AGUS SUHARTO, S. SOS_6102010584930002_PASFOTO 4X6.jpg",Partai Golongan Karya,244935,8,"H. DUDUNG AGUS SUHARTO, S.Sos",Laki-Laki
KOTA PONTIANAK,13 ADRIANUS ASIA SIDOT_6171010601890040_PASFOTO 1.JPG,Partai Golongan Karya,205517,1,"Dr. Drs. ADRIANUS ASIA SIDOT, M.Si",Laki-Laki
KOTA PONTIANAK,11 FIRMAN MUNTACO_8110020599740030_PASFOTO 4X6 1.JPG,Partai Golongan Karya,204677,2,"FIRMAN MUNTACO, S.H., M.H.",Laki-Laki
KOTA PONTIANAK,FOTO.JPG,Partai Golongan Karya,204909,3,"SRI SOELASTRI AS, S.E.",Perempuan
JAKARTA SELATAN,YOVITA L HANDINI_3174010259920013_PASFOTO 4X6.jpg,Partai Golongan Karya,206329,4,"YOVITA LASTI HANDINI, M. Sc.",Perempuan
JAKARTA SELATAN,10 MUKHTARUDIN_3174010259910002_PASFOTO 4X6.jpg,Partai Golongan Karya,201233,1,Drs. MUKHTARUDIN,Laki-Laki
JAKARTA SELATAN,AGATI SULIE MAHYUDIN_3174070206440002_PASFOTO 4X6.jpg,Partai Golongan Karya,157812,2,"HJ. AGATI SULIE MAHYUDIN, S.E.",Perempuan
KOTA BEKASI,10 MUHAMMAD BALYAH_3275090324520018_PASFOTO 4X6.jpg,Partai Golongan Karya,203049,3,"MUHAMMAD BALYAH, S.H.",Laki-Laki
JAKARTA SELATAN,09 OVI DEWI YANTI_3174020260030002_PASFOTO 4X6.jpg,Partai Golongan Karya,201123,4,OVI DEWI YANTI,Perempuan
KOTAWARINGIN TIMUR,09 H. A. MAS'AD IKHSAN_620206 060540 0029_PASFOTO 4x6.jpg,Partai Golongan Karya,229583,5,H. A. MAS?AD IKHSAN,Laki-Laki
KOTA BANDUNG,10 PUTRI ILMIA DZIKRI ANINDHITA_PASFOTO 4X6.jpg,Partai Golongan Karya,201597,6,"PUTRI ILMIA DZIKRI ANINDHITA, S.H.",Perempuan
JAKARTA SELATAN,10 GUSTI ISKANDAR SA_3174050260260008_PASFOTO4X6.jpeg,Partai Golongan Karya,203717,1,"GUSTI ISKANDAR SA, S.E., M.H.",Laki-Laki
JAKARTA SELATAN,10 AHMADI NOOR SUPIT_3174050260230012__PASFOTO 4X6.JPG,Partai Golongan Karya,203469,2,Ir. AHMADI NOOR SUPIT,Laki-Laki
JAKARTA PUSAT,11 MIRZA PRAMESWARI SAIFUDDIN_3171040258590002_PASFOTO 4X6.jpeg,Partai Golongan Karya,203402,3,"MIRZA PRAMESWARI SAIFUDDIN, S.Sos., M.M.",Perempuan
KOTA BANJARMASIN,13 BAMBANG HERI PURNAMA_3174020260030004_PASFOTO 4X6.jpeg,Partai Golongan Karya,203919,4,"Drs. H. BAMBANG HERI PURNAMA, S.T., S.H., M.H.",Laki-Laki
KOTA BANJARBARU,10 NURUL AISATURIDA_6372040641040010_PASFOTO 4X6.jpg,Partai Golongan Karya,228962,5,"NURUL AISATU RIDA, S.S.",Perempuan
KOTA BANJARMASIN,10 NAWANG WIJAYATI_63710420640480011_PASFOTO 4X6 1.JPG,Partai Golongan Karya,228599,6,"NAWANG WIJAYATI, S.H.",Perempuan
KOTA BANJARMASIN,HASNURYADI SULAIMAN_6371050640810002_FOTO.jpg,Partai Golongan Karya,161581,1,"H. HASNURYADI SULAIMAN, M.A.B.",Laki-Laki
TANAH BUMBU,SYARIFAH SANTIYANSYAH_6310010637280001_PASFOTO 4X6.jpg,Partai Golongan Karya,200517,2,"HJ. SYARIFAH SANTIYANSYAH, S.H.",Perempuan
KOTA BANJARMASIN,12 BARDIANSYAH_6371050640770007_PASFOTO.jpg,Partai Golongan Karya,229363,3,"Dr. H. BARDIYANSYAH, M.M.",Laki-Laki
KOTA BANJARMASIN,10 MERY ROSIANTI_6371020640460042_PAS FOTO 4X6.jpg,Partai Golongan Karya,228683,4,"MERY ROSIANTI, S.H",Perempuan
KOTA BANJARBARU,10 NASIB ALAMSYAH_6372020640880091_PASFOTO 4X6.jpg,Partai Golongan Karya,229177,5,NASIB ALAMSYAH,Laki-Laki
KOTA BANDUNG,Hetifah Sjaifudian_3273140322830001_PASFOTO 4X6.jpg,Partai Golongan Karya,157992,1,"Dr. Ir. HETIFAH SJAIFUDIAN, MPP",Perempuan
KOTA BEKASI,09 M. ARIEF PAHLEVI PANGERANG_3275080324440001_FOTO.jpg,Partai Golongan Karya,222915,2,M. ARIEF PAHLEVI PANGERANG,Laki-Laki
PENAJAM PASER UTARA,09 DACHLIA HARAHAP_6409010654810158_PASFOTO 4X6 1.jpg,Partai Golongan Karya,223047,3,"DACHLIA HARAHAP, S.H",Perempuan
JAKARTA SELATAN,"10. RUDY, SE_3174010259910008_PASFOTO 4X6.jpg",Partai Golongan Karya,222843,4,"RUDY MAS?UD, S.E",Laki-Laki
JAKARTA SELATAN,11 DEWI SARTIKA_3172040259090203_PASFOTO 4x6.jpg,Partai Golongan Karya,222836,5,"DEWI SARTIKA, S.H., M.H",Perempuan
KOTA SAMARINDA,09 DAHRI YASIN_6472050655940045_PASFOTO 4X6.jpg,Partai Golongan Karya,222830,6,"DAHRI YASIN, S.H., M.H",Laki-Laki
KOTA BONTANG,11 ADI DARMA_6474010656590100_PASFOTO 4X6.jpg,Partai Golongan Karya,223186,7,"Ir. ADI DARMA, M.Si",Laki-Laki
KOTA SAMARINDA,11 RINALADEN_6472060656060001_PASFOTO 4X6.JPG,Partai Golongan Karya,222971,8,"Dra. RINA LADEN, M.M",Perempuan
JAKARTA PUSAT,JERRY A.K. SAMBUAGA_3171060258700014_PASFOTO 4X6.jpg,Partai Golongan Karya,199829,1,DR. JERRY SAMBUAGA,Laki-Laki
JAKARTA BARAT,IMELDA DIANA _ PASFOTO 4X6.JPG,Partai Golongan Karya,173380,2,"IMELDA DIANA RONDONUWU, S.E., M.Si",Perempuan
